Fondsposition per,"19.Juli2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"EMBRAC B","EMBRACER GROUP","Kommunikation","Aktien","944.197,21","0,02","944.197,21","432.753,00","2,18","Schweden","Nasdaq Omx Nordic","SEK"
"3309","SEKISUI HOUSE REIT INC","Immobilien","Aktien","944.425,59","0,02","944.425,59","1.839,00","513,55","Japan","Tokyo Stock Exchange","JPY"
"1860","TODA CORP","Industrie","Aktien","943.540,85","0,02","943.540,85","139.000,00","6,79","Japan","Tokyo Stock Exchange","JPY"
"ENRG","ENERGIX RENEWABLE ENERGIES LTD","Versorger","Aktien","943.137,77","0,02","943.137,77","257.519,00","3,66","Israel","Tel Aviv Stock Exchange","ILS"
"CAR","AVIS BUDGET GROUP INC","Industrie","Aktien","942.825,45","0,02","942.825,45","9.257,00","101,85","Vereinigte Staaten","NASDAQ","USD"
"2579","COCA-COLA BOTTLERS JAPAN HOLDINGS","Nichtzyklische Konsumgüter","Aktien","942.449,55","0,02","942.449,55","65.800,00","14,32","Japan","Tokyo Stock Exchange","JPY"
"GOR","GOLD ROAD RESOURCES LTD","Materialien","Aktien","941.758,07","0,02","941.758,07","783.771,00","1,20","Australien","Asx - All Markets","AUD"
"NVEE","NV5 GLOBAL INC","Industrie","Aktien","941.459,20","0,02","941.459,20","9.460,00","99,52","Vereinigte Staaten","NASDAQ","USD"
"MIR","MIRION TECHNOLOGIES INC CLASS A","IT","Aktien","941.152,80","0,02","941.152,80","89.040,00","10,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MXL","MAXLINEAR INC","IT","Aktien","940.807,95","0,02","940.807,95","39.315,00","23,93","Vereinigte Staaten","NASDAQ","USD"
"PLUG","PLUG POWER INC","Industrie","Aktien","940.383,65","0,02","940.383,65","373.910,00","2,52","Vereinigte Staaten","NASDAQ","USD"
"IPCO","INTERNATIONAL PETROLEUM CORP","Energie","Aktien","939.710,87","0,02","939.710,87","63.314,00","14,84","Kanada","Toronto Stock Exchange","CAD"
"FRVIA","FORVIA","Zyklische Konsumgüter ","Aktien","937.436,14","0,02","937.436,14","83.860,00","11,18","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"3481","MITSUBISHI ESTATE LOGISTICS REIT C","Immobilien","Aktien","937.184,99","0,02","937.184,99","386,00","2.427,94","Japan","Tokyo Stock Exchange","JPY"
"GRC","GORMAN-RUPP","Industrie","Aktien","936.819,02","0,02","936.819,02","23.669,00","39,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCYR","SACYR SA","Industrie","Aktien","936.504,70","0,02","936.504,70","263.632,00","3,55","Spanien","Bolsa De Madrid","EUR"
"BLBD","BLUE BIRD CORP","Industrie","Aktien","935.666,76","0,02","935.666,76","19.068,00","49,07","Vereinigte Staaten","NASDAQ","USD"
"DOM","DOMINOS PIZZA GROUP PLC","Zyklische Konsumgüter ","Aktien","935.439,80","0,02","935.439,80","226.319,00","4,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"NSSC","NAPCO SECURITY TECHNOLOGIES INC","IT","Aktien","935.632,60","0,02","935.632,60","17.495,00","53,48","Vereinigte Staaten","NASDAQ","USD"
"LOOMIS","LOOMIS","Industrie","Aktien","934.557,12","0,02","934.557,12","35.895,00","26,04","Schweden","Nasdaq Omx Nordic","SEK"
"MP","MP MATERIALS CORP CLASS A","Materialien","Aktien","934.894,67","0,02","934.894,67","65.423,00","14,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BUFAB","BUFAB AB","Industrie","Aktien","933.451,84","0,02","933.451,84","21.967,00","42,49","Schweden","Nasdaq Omx Nordic","SEK"
"BYIT","BYTES TECHNOLOGY GROUP PLC","IT","Aktien","933.504,66","0,02","933.504,66","148.403,00","6,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"TFIN","TRIUMPH FINANCIAL INC","Financials","Aktien","933.060,45","0,02","933.060,45","11.515,00","81,03","Vereinigte Staaten","NASDAQ","USD"
"UPBD","UPBOUND GROUP INC","Zyklische Konsumgüter ","Aktien","932.762,60","0,02","932.762,60","28.490,00","32,74","Vereinigte Staaten","NASDAQ","USD"
"303","VTECH HOLDINGS LTD","IT","Aktien","931.895,74","0,02","931.895,74","133.314,00","6,99","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"DOCN","DIGITALOCEAN HOLDINGS INC","IT","Aktien","930.676,74","0,02","930.676,74","28.357,00","32,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KRN","KRONES AG","Industrie","Aktien","929.841,13","0,02","929.841,13","6.809,00","136,56","Deutschland","Xetra","EUR"
"BRG","BORREGAARD","Materialien","Aktien","929.428,17","0,02","929.428,17","54.503,00","17,05","Norwegen","Oslo Bors Asa","NOK"
"3466","LASALLE LOGIPORT REIT","Immobilien","Aktien","929.692,06","0,02","929.692,06","989,00","940,03","Japan","Tokyo Stock Exchange","JPY"
"TPZ","TOPAZ ENERGY CORP","Energie","Aktien","929.679,92","0,02","929.679,92","51.387,00","18,09","Kanada","Toronto Stock Exchange","CAD"
"CNS","COHEN & STEERS INC","Financials","Aktien","929.293,20","0,02","929.293,20","11.355,00","81,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHC","SOTERA HEALTH COMPANY","Gesundheitsversorgung","Aktien","929.010,39","0,02","929.010,39","70.971,00","13,09","Vereinigte Staaten","NASDAQ","USD"
"FRHC","FREEDOM HOLDING CORP","Financials","Aktien","928.519,20","0,02","928.519,20","11.592,00","80,10","Vereinigte Staaten","NASDAQ","USD"
"INMD","INMODE LTD","Gesundheitsversorgung","Aktien","928.070,47","0,02","928.070,47","52.463,00","17,69","Israel","NASDAQ","USD"
"ALSN","ALSO HOLDING AG","IT","Aktien","927.344,55","0,02","927.344,55","3.614,00","256,60","Schweiz","SIX Swiss Exchange","CHF"
"CMPR","CIMPRESS PLC","Industrie","Aktien","927.459,64","0,02","927.459,64","10.124,00","91,61","Vereinigte Staaten","NASDAQ","USD"
"HBI","HANESBRANDS INC","Zyklische Konsumgüter ","Aktien","926.683,20","0,02","926.683,20","171.608,00","5,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LMAT","LEMAITRE VASCULAR INC","Gesundheitsversorgung","Aktien","926.822,40","0,02","926.822,40","10.752,00","86,20","Vereinigte Staaten","NASDAQ","USD"
"GEF","GREIF INC CLASS A","Materialien","Aktien","924.704,83","0,02","924.704,83","14.917,00","61,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"1963","JGC HOLDINGS CORP","Industrie","Aktien","924.536,82","0,02","924.536,82","113.200,00","8,17","Japan","Tokyo Stock Exchange","JPY"
"8129","TOHO HOLDINGS LTD","Gesundheitsversorgung","Aktien","924.884,48","0,02","924.884,48","32.900,00","28,11","Japan","Tokyo Stock Exchange","JPY"
"BANR","BANNER CORP","Financials","Aktien","924.453,20","0,02","924.453,20","15.895,00","58,16","Vereinigte Staaten","NASDAQ","USD"
"2206","EZAKI GLICO LTD","Nichtzyklische Konsumgüter","Aktien","923.967,97","0,02","923.967,97","31.500,00","29,33","Japan","Tokyo Stock Exchange","JPY"
"PPT","PERPETUAL LTD","Financials","Aktien","923.717,17","0,02","923.717,17","61.631,00","14,99","Australien","Asx - All Markets","AUD"
"CIP","CENTURIA INDUSTR UNITS","Immobilien","Aktien","923.142,32","0,02","923.142,32","432.307,00","2,14","Australien","Asx - All Markets","AUD"
"DLEKG","DELEK GROUP LTD","Energie","Aktien","922.520,39","0,02","922.520,39","7.572,00","121,83","Israel","Tel Aviv Stock Exchange","ILS"
"DEI","DOUGLAS EMMETT REIT INC","Immobilien","Aktien","922.833,75","0,02","922.833,75","63.425,00","14,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HLMN","HILLMAN SOLUTIONS CORP","Industrie","Aktien","922.721,00","0,02","922.721,00","96.620,00","9,55","Vereinigte Staaten","NASDAQ","USD"
"LGND","LIGAND PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","921.283,60","0,02","921.283,60","9.235,00","99,76","Vereinigte Staaten","NASDAQ","USD"
"INA","INGENIA COMMUNITIES GROUP STAPLED","Immobilien","Aktien","920.900,89","0,02","920.900,89","274.046,00","3,36","Australien","Asx - All Markets","AUD"
"DEME","DEME GROUP NV","Industrie","Aktien","920.214,58","0,02","920.214,58","5.066,00","181,65","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"KEX","KIRBY CORP","Industrie","Aktien","920.451,78","0,02","920.451,78","7.487,00","122,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NHC","NEW HOPE CORPORATION LTD","Energie","Aktien","919.416,37","0,02","919.416,37","288.549,00","3,19","Australien","Asx - All Markets","AUD"
"6592","MABUCHI MOTOR LTD","Industrie","Aktien","917.955,95","0,02","917.955,95","61.800,00","14,85","Japan","Tokyo Stock Exchange","JPY"
"7966","LINTEC CORP","Materialien","Aktien","917.481,81","0,02","917.481,81","41.600,00","22,05","Japan","Tokyo Stock Exchange","JPY"
"RCKT","ROCKET PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","917.500,92","0,02","917.500,92","40.206,00","22,82","Vereinigte Staaten","NASDAQ","USD"
"3591","WACOAL HOLDINGS CORP","Zyklische Konsumgüter ","Aktien","917.147,49","0,02","917.147,49","32.900,00","27,88","Japan","Tokyo Stock Exchange","JPY"
"TIETO","TIETO","IT","Aktien","915.368,15","0,02","915.368,15","45.807,00","19,98","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"POU","PARAMOUNT RESOURCE LTD CLASS A","Energie","Aktien","914.894,69","0,02","914.894,69","41.702,00","21,94","Kanada","Toronto Stock Exchange","CAD"
"PXT","PAREX RESOURCES INC","Energie","Aktien","914.418,80","0,02","914.418,80","58.672,00","15,59","Kanada","Toronto Stock Exchange","CAD"
"ADUS","ADDUS HOMECARE CORP","Gesundheitsversorgung","Aktien","913.488,16","0,02","913.488,16","7.688,00","118,82","Vereinigte Staaten","NASDAQ","USD"
"3923","RAKUS LTD","IT","Aktien","913.676,55","0,02","913.676,55","66.200,00","13,80","Japan","Tokyo Stock Exchange","JPY"
"SXC","SUNCOKE ENERGY INC","Materialien","Aktien","913.343,70","0,02","913.343,70","83.793,00","10,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CERT","CERTARA INC","Gesundheitsversorgung","Aktien","912.845,52","0,02","912.845,52","56.769,00","16,08","Vereinigte Staaten","NASDAQ","USD"
"GBF","BILFINGER","Industrie","Aktien","911.272,15","0,02","911.272,15","16.217,00","56,19","Deutschland","Xetra","EUR"
"SNDX","SYNDAX PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","911.152,24","0,02","911.152,24","39.478,00","23,08","Vereinigte Staaten","NASDAQ","USD"
"STLC","STELCO HOLDINGS INC","Materialien","Aktien","909.458,81","0,02","909.458,81","18.955,00","47,98","Kanada","Toronto Stock Exchange","CAD"
"BURE","BURE EQUITY","Financials","Aktien","907.234,82","0,02","907.234,82","24.732,00","36,68","Schweden","Nasdaq Omx Nordic","SEK"
"GSHD","GOOSEHEAD INSURANCE INC CLASS A","Financials","Aktien","906.848,15","0,02","906.848,15","14.383,00","63,05","Vereinigte Staaten","NASDAQ","USD"
"NGVT","INGEVITY CORP","Materialien","Aktien","906.487,12","0,02","906.487,12","20.398,00","44,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AIF","ALTUS GROUP LTD","Immobilien","Aktien","906.194,03","0,02","906.194,03","22.130,00","40,95","Kanada","Toronto Stock Exchange","CAD"
"ABR","ARBOR REALTY TRUST REIT INC","Financials","Aktien","906.071,43","0,02","906.071,43","69.113,00","13,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GSY","GOEASY LTD","Financials","Aktien","905.859,43","0,02","905.859,43","6.619,00","136,86","Kanada","Toronto Stock Exchange","CAD"
"CUBI","CUSTOMERS BANCORP INC","Financials","Aktien","903.757,40","0,02","903.757,40","14.605,00","61,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MSGE","MADISON SQUARE GARDEN ENTERTAINMEN","Kommunikation","Aktien","901.592,55","0,02","901.592,55","23.795,00","37,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RELY","REMITLY GLOBAL INC","Financials","Aktien","900.684,22","0,02","900.684,22","68.182,00","13,21","Vereinigte Staaten","NASDAQ","USD"
"8366","SHIGA BANK LTD","Financials","Aktien","900.533,89","0,02","900.533,89","34.100,00","26,41","Japan","Tokyo Stock Exchange","JPY"
"ENLT","ENLIGHT RENEWABLE ENERGY LTD","Versorger","Aktien","900.148,10","0,02","900.148,10","54.768,00","16,44","Israel","Tel Aviv Stock Exchange","ILS"
"AJB","AJ BELL PLC","Financials","Aktien","898.951,68","0,02","898.951,68","162.991,00","5,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"ARYN","ARYZTA AG","Nichtzyklische Konsumgüter","Aktien","898.877,88","0,02","898.877,88","474.568,00","1,89","Schweiz","SIX Swiss Exchange","CHF"
"YOU","CLEAR SECURE INC CLASS A","IT","Aktien","898.205,24","0,02","898.205,24","45.068,00","19,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SESG","SES SA FDR","Kommunikation","Aktien","897.355,42","0,02","897.355,42","170.322,00","5,27","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"YAL","YANCOAL AUSTRALIA LTD","Energie","Aktien","896.012,60","0,02","896.012,60","199.483,00","4,49","Australien","Asx - All Markets","AUD"
"NVA","NUVISTA ENERGY LTD","Energie","Aktien","895.396,47","0,02","895.396,47","90.894,00","9,85","Kanada","Toronto Stock Exchange","CAD"
"ALESK","ESKER SA","IT","Aktien","894.976,79","0,02","894.976,79","4.256,00","210,29","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NIC","NICOLET BANKSHARES INC","Financials","Aktien","895.052,04","0,02","895.052,04","9.197,00","97,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7988","NIFCO INC","Zyklische Konsumgüter ","Aktien","894.875,27","0,02","894.875,27","36.400,00","24,58","Japan","Tokyo Stock Exchange","JPY"
"VEA","VIVA ENERGY GROUP LTD","Energie","Aktien","894.355,59","0,02","894.355,59","438.051,00","2,04","Australien","Asx - All Markets","AUD"
"HBNC","HORIZON BANCORP INC","Financials","Aktien","891.594,86","0,02","891.594,86","60.694,00","14,69","Vereinigte Staaten","NASDAQ","USD"
"AAL","AMERICAN AIRLINES GROUP INC","Industrie","Aktien","890.772,52","0,02","890.772,52","84.194,00","10,58","Vereinigte Staaten","NASDAQ","USD"
"RNST","RENASANT CORP","Financials","Aktien","890.001,53","0,02","890.001,53","24.937,00","35,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INFA","INFORMATICA INC CLASS A","IT","Aktien","889.544,70","0,02","889.544,70","36.234,00","24,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DO","DIAMOND OFFSHORE DRILLING INC","Energie","Aktien","889.163,52","0,02","889.163,52","55.712,00","15,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ARLO","ARLO TECHNOLOGIES INC","IT","Aktien","888.626,76","0,02","888.626,76","53.564,00","16,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DFIN","DONNELLEY FINANCIAL SOLUTIONS INC","Financials","Aktien","888.497,83","0,02","888.497,83","13.621,00","65,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AFRY","AFRY","Industrie","Aktien","887.817,99","0,02","887.817,99","48.629,00","18,26","Schweden","Nasdaq Omx Nordic","SEK"
"PFC","PREMIER FINANCIAL CORP","Financials","Aktien","887.891,74","0,02","887.891,74","36.599,00","24,26","Vereinigte Staaten","NASDAQ","USD"
"CWEN","CLEARWAY ENERGY INC CLASS C","Versorger","Aktien","887.566,17","0,02","887.566,17","35.179,00","25,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4912","LION CORP","Nichtzyklische Konsumgüter","Aktien","887.261,58","0,02","887.261,58","107.300,00","8,27","Japan","Tokyo Stock Exchange","JPY"
"2229","CALBEE INC","Nichtzyklische Konsumgüter","Aktien","887.062,64","0,02","887.062,64","42.000,00","21,12","Japan","Tokyo Stock Exchange","JPY"
"FR","VALEO","Zyklische Konsumgüter ","Aktien","886.815,12","0,02","886.815,12","86.283,00","10,28","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"5344","MARUWA (OWARIASAHI) LTD","IT","Aktien","886.579,59","0,02","886.579,59","3.700,00","239,62","Japan","Tokyo Stock Exchange","JPY"
"ARVN","ARVINAS INC","Gesundheitsversorgung","Aktien","886.002,32","0,02","886.002,32","31.066,00","28,52","Vereinigte Staaten","NASDAQ","USD"
"KALU","KAISER ALUMINIUM CORP","Materialien","Aktien","883.673,52","0,02","883.673,52","9.508,00","92,94","Vereinigte Staaten","NASDAQ","USD"
"DRR","DETERRA ROYALTIES LTD","Materialien","Aktien","883.285,46","0,02","883.285,46","340.082,00","2,60","Australien","Asx - All Markets","AUD"
"2815","ARIAKE JAPAN LTD","Nichtzyklische Konsumgüter","Aktien","880.579,65","0,02","880.579,65","25.800,00","34,13","Japan","Tokyo Stock Exchange","JPY"
"THRM","GENTHERM INC","Zyklische Konsumgüter ","Aktien","880.555,40","0,02","880.555,40","17.590,00","50,06","Vereinigte Staaten","NASDAQ","USD"
"9401","TBS HOLDINGS INC","Kommunikation","Aktien","880.768,42","0,02","880.768,42","32.100,00","27,44","Japan","Tokyo Stock Exchange","JPY"
"CAKE","CHEESECAKE FACTORY INC","Zyklische Konsumgüter ","Aktien","880.035,43","0,02","880.035,43","22.117,00","39,79","Vereinigte Staaten","NASDAQ","USD"
"SYBT","STOCK YARDS BANCORP INC","Financials","Aktien","879.989,70","0,02","879.989,70","15.830,00","55,59","Vereinigte Staaten","NASDAQ","USD"
"C09","CITY DEVELOPMENTS LTD","Immobilien","Aktien","878.996,06","0,02","878.996,06","219.700,00","4,00","Singapur","Singapore Exchange","SGD"
"TWO","TWO HARBORS INVESTMENT CORP","Financials","Aktien","878.502,24","0,02","878.502,24","64.218,00","13,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9008","KEIO CORP","Industrie","Aktien","878.217,82","0,02","878.217,82","36.400,00","24,13","Japan","Tokyo Stock Exchange","JPY"
"9934","INABA DENKISANGYO LTD","Industrie","Aktien","877.363,59","0,02","877.363,59","34.000,00","25,80","Japan","Tokyo Stock Exchange","JPY"
"SRE","SIRIUS REAL ESTATE LIMITED LTD","Immobilien","Aktien","876.545,22","0,02","876.545,22","716.983,00","1,22","Vereinigtes Königreich","London Stock Exchange","GBP"
"BRAV","BRAVIDA HOLDING","Industrie","Aktien","876.355,42","0,02","876.355,42","105.478,00","8,31","Schweden","Nasdaq Omx Nordic","SEK"
"RCH","RICHELIEU HARDWARE LTD","Industrie","Aktien","876.166,71","0,02","876.166,71","30.100,00","29,11","Kanada","Toronto Stock Exchange","CAD"
"ORA","ORORA LTD","Materialien","Aktien","875.346,33","0,02","875.346,33","637.882,00","1,37","Australien","Asx - All Markets","AUD"
"RET","RETAIL ESTATES NV","Immobilien","Aktien","875.174,41","0,02","875.174,41","12.402,00","70,57","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"IHP","INTEGRAFIN HOLDINGS","Financials","Aktien","874.431,45","0,02","874.431,45","181.986,00","4,80","Vereinigtes Königreich","London Stock Exchange","GBP"
"3994","MONEY FORWARD INC","IT","Aktien","874.453,87","0,02","874.453,87","27.800,00","31,46","Japan","Tokyo Stock Exchange","JPY"
"5801","FURUKAWA ELECTRIC LTD","Industrie","Aktien","873.592,65","0,02","873.592,65","34.700,00","25,18","Japan","Tokyo Stock Exchange","JPY"
"LRE","LANCASHIRE HOLDINGS LTD","Financials","Aktien","873.458,99","0,02","873.458,99","110.136,00","7,93","Vereinigtes Königreich","London Stock Exchange","GBP"
"MORF","MORPHIC HOLDING INC","Gesundheitsversorgung","Aktien","873.064,44","0,02","873.064,44","15.447,00","56,52","Vereinigte Staaten","NASDAQ","USD"
"ALMB","ALM BRAND","Financials","Aktien","872.362,96","0,02","872.362,96","461.544,00","1,89","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"FBK","FB FINANCIAL CORP","Financials","Aktien","872.134,00","0,02","872.134,00","19.210,00","45,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"23","BANK OF EAST ASIA LTD","Financials","Aktien","871.489,84","0,02","871.489,84","678.000,00","1,29","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"COFA","COFACE SA","Financials","Aktien","870.973,86","0,02","870.973,86","57.914,00","15,04","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NWN","NORTHWEST NATURAL HOLDING COMPANY","Versorger","Aktien","870.318,82","0,02","870.318,82","22.123,00","39,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SONO","SONOS INC","Zyklische Konsumgüter ","Aktien","870.190,12","0,02","870.190,12","62.966,00","13,82","Vereinigte Staaten","NASDAQ","USD"
"DANR","DANIELI & C OFFICINE MECCANICHE SA","Industrie","Aktien","868.413,68","0,02","868.413,68","29.979,00","28,97","Italien","Borsa Italiana","EUR"
"JOBY","JOBY AVIATION INC CLASS A","Industrie","Aktien","868.346,34","0,02","868.346,34","132.978,00","6,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CABO","CABLE ONE INC","Kommunikation","Aktien","868.095,58","0,02","868.095,58","2.426,00","357,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JUN3","JUNGHEINRICH PREF AG","Industrie","Aktien","868.239,84","0,02","868.239,84","26.072,00","33,30","Deutschland","Xetra","EUR"
"HVN","HARVEY NORMAN HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","867.710,31","0,02","867.710,31","289.989,00","2,99","Australien","Asx - All Markets","AUD"
"LUMN","LUMEN TECHNOLOGIES INC","Kommunikation","Aktien","867.826,80","0,02","867.826,80","628.860,00","1,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CEU","CES ENERGY SOLUTIONS CORP","Energie","Aktien","866.781,01","0,02","866.781,01","150.584,00","5,76","Kanada","Toronto Stock Exchange","CAD"
"UPWK","UPWORK INC","Industrie","Aktien","867.083,36","0,02","867.083,36","75.794,00","11,44","Vereinigte Staaten","NASDAQ","USD"
"WPR","WAYPOINT REIT STAPLED UNIT LTD","Immobilien","Aktien","865.534,58","0,02","865.534,58","532.099,00","1,63","Australien","Asx - All Markets","AUD"
"SPT","SPROUT SOCIAL INC CLASS A","IT","Aktien","865.281,20","0,02","865.281,20","23.590,00","36,68","Vereinigte Staaten","NASDAQ","USD"
"9861","YOSHINOYA HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","865.235,33","0,02","865.235,33","47.900,00","18,06","Japan","Tokyo Stock Exchange","JPY"
"AMOT","AMOT INVESTMENTS LTD","Immobilien","Aktien","864.465,50","0,02","864.465,50","186.456,00","4,64","Israel","Tel Aviv Stock Exchange","ILS"
"2371","KAKAKU.COM INC","Kommunikation","Aktien","864.468,49","0,02","864.468,49","63.900,00","13,53","Japan","Tokyo Stock Exchange","JPY"
"TMP","TOMPKINS FINANCIAL CORP","Financials","Aktien","864.442,84","0,02","864.442,84","14.948,00","57,83","Vereinigte Staaten","Nyse Mkt Llc","USD"
"COA","COATS GROUP PLC","Zyklische Konsumgüter ","Aktien","863.464,80","0,02","863.464,80","763.125,00","1,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"ASPN","ASPEN AEROGELS INC","Materialien","Aktien","862.945,95","0,02","862.945,95","36.957,00","23,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CLVT","CLARIVATE PLC","Industrie","Aktien","862.940,73","0,02","862.940,73","130.947,00","6,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZIM","ZIM INTEGRATED SHIPPING SERVICES L","Industrie","Aktien","862.972,89","0,02","862.972,89","50.973,00","16,93","Israel","New York Stock Exchange Inc.","USD"
"LEG","LEGGETT & PLATT INC","Zyklische Konsumgüter ","Aktien","862.437,18","0,02","862.437,18","68.123,00","12,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IOVA","IOVANCE BIOTHERAPEUTICS INC","Gesundheitsversorgung","Aktien","862.227,20","0,02","862.227,20","108.320,00","7,96","Vereinigte Staaten","NASDAQ","USD"
"DOKA","DORMAKABA HOLDING AG","Industrie","Aktien","861.587,98","0,02","861.587,98","1.461,00","589,72","Schweiz","SIX Swiss Exchange","CHF"
"ROVI","LABORATORIOS FARMACEUTICOS ROVI SA","Gesundheitsversorgung","Aktien","861.876,42","0,02","861.876,42","9.333,00","92,35","Spanien","Bolsa De Madrid","EUR"
"FIZZ","NATIONAL BEVERAGE CORP","Nichtzyklische Konsumgüter","Aktien","860.784,60","0,02","860.784,60","16.978,00","50,70","Vereinigte Staaten","NASDAQ","USD"
"DK","DELEK US HOLDINGS INC","Energie","Aktien","860.419,77","0,02","860.419,77","39.779,00","21,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BB","BIC SA","Industrie","Aktien","860.013,79","0,02","860.013,79","13.616,00","63,16","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TVE","TAMARACK VALLEY ENERGY LTD","Energie","Aktien","859.306,65","0,02","859.306,65","304.743,00","2,82","Kanada","Toronto Stock Exchange","CAD"
"NBTB","NBT BANCORP INC","Financials","Aktien","856.828,56","0,02","856.828,56","18.948,00","45,22","Vereinigte Staaten","NASDAQ","USD"
"2343","PACIFIC BASIN SHIPPING LTD","Industrie","Aktien","856.543,13","0,02","856.543,13","2.934.374,00","0,29","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"9364","KAMIGUMI LTD","Industrie","Aktien","855.982,46","0,02","855.982,46","38.700,00","22,12","Japan","Tokyo Stock Exchange","JPY"
"ZUO","ZUORA INC CLASS A","IT","Aktien","856.012,08","0,02","856.012,08","92.642,00","9,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BOY","BODYCOTE PLC","Industrie","Aktien","855.813,44","0,02","855.813,44","93.189,00","9,18","Vereinigtes Königreich","London Stock Exchange","GBP"
"FVI","FORTUNA MINING CORP","Materialien","Aktien","855.048,77","0,02","855.048,77","170.321,00","5,02","Kanada","Toronto Stock Exchange","CAD"
"FRAS","FRASERS GROUP PLC","Zyklische Konsumgüter ","Aktien","854.955,02","0,02","854.955,02","74.792,00","11,43","Vereinigtes Königreich","London Stock Exchange","GBP"
"TWEKA","TKH GROUP NV","Industrie","Aktien","855.080,67","0,02","855.080,67","19.086,00","44,80","Niederlande","Euronext Amsterdam","EUR"
"OPEN","OPENDOOR TECHNOLOGIES INC","Immobilien","Aktien","854.435,05","0,02","854.435,05","348.749,00","2,45","Vereinigte Staaten","NASDAQ","USD"
"XRX","XEROX HOLDINGS CORP","IT","Aktien","854.029,44","0,02","854.029,44","71.888,00","11,88","Vereinigte Staaten","NASDAQ","USD"
"OXIG","OXFORD INSTRUMENTS PLC","IT","Aktien","853.881,59","0,02","853.881,59","27.149,00","31,45","Vereinigtes Königreich","London Stock Exchange","GBP"
"WGO","WINNEBAGO INDUSTRIES INC","Zyklische Konsumgüter ","Aktien","852.718,10","0,02","852.718,10","15.010,00","56,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCY","MERCURY GENERAL CORP","Financials","Aktien","852.634,74","0,02","852.634,74","15.123,00","56,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9682","DTS CORP","IT","Aktien","851.457,08","0,02","851.457,08","31.300,00","27,20","Japan","Tokyo Stock Exchange","JPY"
